Doc_ID,Line_Length,Line_Words,Number_of_Lines,Inline_space_tab,Indent_space_tab,number_of_spaces,number_of_underscores,identifiers_with_underscore,Number_of_Identifiers,Number_of_keywords,Programmer
Doc_13,"(LL_28, 1), (LL_35, 1), (LL_17, 2), (LL_1, 1), (LL_27, 2),  (LL_49, 1), (LL_26, 1), (LL_24, 1), (LL_15, 1), (LL_10, 1)","(LW_5, 3), (LW_7, 1), (LW_3, 2), (LW_4, 3), (LW_0, 1), (LW_8, 1), (LW_1, 1)",12,"(IS_2, 1), (IS_5, 4), (IS_4, 1), (IS_7, 2), (IS_15, 1), (IS_3, 1), (IS_0, 1)","(IN_0, 11)",58,2,"(Circuit_1, 2)","(A, 6), (B, 6), (C, 6), (F1, 3), (F2, 3), (T2, 2), (T1, 2), (D, 3), (T3, 2)","(module, 1), (output, 1), (input, 1), (assign, 6), (endmodule, 1)",Prog_3
Doc_14,"(LL_28, 2), (LL_46, 1), (LL_18, 1), (LL_1, 1),  (LL_50, 1), (LL_78, 1), (LL_47, 1), (LL_10, 1)","(LW_5, 2), (LW_9, 1), (LW_4, 1), (LW_0, 1), (LW_7, 1), (LW_11, 1), (LW_8, 1), (LW_1, 1)",9,"(IS_2, 2), (IS_3, 1), (IS_4, 1), (IS_11, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 8)",54,11,"(Circuit_2, 2), (Out_1, 3), (Out_2, 3), (Out_3, 3)","(Out_1, 3), (Out_2, 3), (Out_3, 3), (A, 5), (B, 7), (C, 9), (D, 7)","(module, 1), (output, 1), (input, 1), (assign, 3), (endmodule, 1)",Prog_3
Doc_15,"(LL_28, 2), (LL_46, 1), (LL_18, 1), (LL_1, 1),  (LL_48, 1), (LL_77, 1), (LL_54, 1), (LL_10, 1)","(LW_5, 2), (LW_9, 1), (LW_4, 1), (LW_0, 1), (LW_7, 1), (LW_11, 1), (LW_8, 1), (LW_1, 1)",9,"(IS_2, 2), (IS_3, 1), (IS_4, 1), (IS_11, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 8)",54,11,"(Circuit_2, 2), (Out_1, 3), (Out_2, 3), (Out_3, 3)","(Out_1, 3), (Out_2, 3), (Out_3, 3), (A, 5), (B, 7), (C, 9), (D, 7)","(module, 1), (output, 1), (input, 1), (assign, 3), (endmodule, 1)",Prog_3
Doc_16,"(LL_28, 2), (LL_46, 1), (LL_18, 1), (LL_1, 1),  (LL_48, 1), (LL_77, 1), (LL_54, 1), (LL_10, 1)","(LW_5, 2), (LW_9, 1), (LW_4, 1), (LW_0, 1), (LW_7, 1), (LW_11, 1), (LW_8, 1), (LW_1, 1)",9,"(IS_2, 2), (IS_3, 1), (IS_4, 1), (IS_11, 1), (IS_19, 1), (IS_13, 1), (IS_0, 1)","(IN_0, 8)",54,11,"(Circuit_2, 2), (Out_1, 3), (Out_2, 3), (Out_3, 3)","(Out_1, 3), (Out_2, 3), (Out_3, 3), (A, 5), (B, 7), (C, 9), (D, 7)","(module, 1), (output, 1), (input, 1), (assign, 3), (endmodule, 1)",Prog_3
Doc_17,"(LL_33, 1), (LL_42, 1), (LL_12, 1), (LL_20, 1), (LL_1, 2),  (LL_8, 1), (LL_17, 16), (LL_11, 1), (LL_13, 1)","(LW_5, 18), (LW_7, 1), (LW_2, 1), (LW_0, 2), (LW_1, 3)",25,"(IS_2, 1), (IS_6, 1), (IS_1, 1), (IS_4, 1), (IS_0, 3), (IS_5, 16)","(IN_0, 3), (IN_2, 4), (IN_4, 16)",165,4,"(UDP_Majority_4, 2)","(z, 2), (a, 2), (b, 2), (c, 2), (d, 2), (0, 43), (1, 37)","(primitive, 1), (output, 1), (input, 1), (table, 1), (endtable, 1), (endprimitive, 1)",Prog_3
Doc_18,"(LL_27, 1), (LL_48, 1), (LL_1, 3), (LL_25, 1), (LL_16, 2),  (LL_19, 1), (LL_46, 1), (LL_7, 1), (LL_10, 1)","(LW_5, 2), (LW_7, 1), (LW_2, 2), (LW_0, 4), (LW_4, 1), (LW_8, 1), (LW_1, 1)",12,"(IS_2, 1), (IS_4, 1), (IS_1, 2), (IS_0, 3), (IS_5, 1)","(IN_0, 3), (IN_1, 5)",34,3,"(sum_diff, 3)","(sum_diff, 3), (carry, 3), (A, 4), (B, 4), (select, 3), (3, 2), (0, 2)","(module, 1), (output, 2), (input, 2), (assign, 1), (endmodule, 1)",Prog_3
Doc_19,"(LL_26, 4), (LL_28, 4), (LL_27, 1), (LL_29, 1), (LL_8, 2),  (LL_15, 1), (LL_22, 1), (LL_13, 1), (LL_17, 1), (LL_1, 1)","(LW_5, 4), (LW_6, 3), (LW_1, 2), (LW_2, 3), (LW_4, 4), (LW_0, 1)",17,"(IS_2, 3), (IS_4, 1), (IS_5, 3), (IS_0, 3), (IS_6, 1), (IS_8, 3), (IS_7, 2)","(IN_0, 2), (IN_5, 8), (IN_4, 6)",148,0,0,"(A, 6), (B, 6), (Y, 5), (input, 1), (3, 1), (0, 2), (reg, 1), (5, 1), (6, 3), (b100011, 1), (b011010, 1), (b010101, 1)","(module, 1), (input, 1), (output, 1), (always, 1), (or, 1), (begin, 1), (if, 3), (else, 2), (end, 1), (endmodule, 1)",Prog_3
Doc_20,"(LL_26, 3), (LL_24, 3), (LL_25, 1), (LL_6, 1), (LL_23, 2),  (LL_12, 1), (LL_19, 1), (LL_20, 1), (LL_8, 1), (LL_14, 1), (LL_5, 1), (LL_1, 1)","(LW_5, 4), (LW_1, 3), (LW_3, 4), (LW_4, 3), (LW_0, 3)",17,"(IS_2, 5), (IS_4, 1), (IS_3, 5), (IS_0, 3)","(IN_0, 2), (IN_6, 3), (IN_5, 2), (IN_8, 2), (IN_9, 2), (IN_11, 1), (IN_4, 2)",119,0,0,"(A, 6), (B, 6), (Y, 5), (input, 1), (3, 1), (0, 2), (reg, 1), (5, 1), (6, 3), (b100011, 1), (b011010, 1), (b010101, 1)","(module, 1), (input, 1), (output, 1), (always, 1), (or, 1), (begin, 1), (if, 3), (else, 2), (end, 1), (endmodule, 1)",Prog_3
Doc_21,"(LL_31, 1), (LL_62, 1), (LL_6, 6), (LL_25, 2),  (LL_35, 1), (LL_5, 15), (LL_21, 1), (LL_37, 1), (LL_16, 1), (LL_69, 1), (LL_68, 2), (LL_61, 1), (LL_66, 1), (LL_40, 2), (LL_24, 1), (LL_51, 1), (LL_64, 2), (LL_55, 1), (LL_14, 1), (LL_49, 1), (LL_33, 1), (LL_18, 1), (LL_46, 1), (LL_54, 1), (LL_15, 1)","(LW_5, 3), (LW_7, 3), (LW_3, 1), (LW_4, 5), (LW_0, 22), (LW_2, 4), (LW_10, 4), (LW_11, 1), (LW_9, 4), (LW_1, 2)",49,"(IS_2, 4), (IS_6, 1), (IS_1, 4), (IS_3, 5), (IS_5, 9), (IS_11, 1), (IS_0, 2), (IS_9, 1)","(IN_0, 1), (IN_1, 1), (IN_7, 8), (IN_5, 2), (IN_8, 8), (IN_4, 3), (IN_17, 2), (IN_16, 1), (IN_12, 1)",410,12,"(BCD_Adder, 1), (Carry_out, 5), (Carry_in, 3), (sum_diff, 3)","(BCD_Adder, 1), (Sum, 6), (Carry_out, 5), (Addend, 6), (Augend, 6), (Carry_in, 3), (3, 10), (0, 11), (Z, 13), (binCar1, 3), (binCar2, 3), (binCar3, 3), (K, 3), (fullAdder, 9), (f1, 1), (f2, 1), (1, 6), (f3, 1), (2, 6), (f4, 1), (finCar1, 3), (finCar2, 3), (finCar3, 3), (unusedOut, 2), (f5, 1), (f6, 1), (f7, 1), (f8, 1), (sum_diff, 3), (Cin, 4), (A, 5), (B, 5), (Cout, 3)","(module, 2), (output, 3), input, 3), (wire, 5), (assign, 3), (endmodule, 2)",Prog_3
Doc_22,"(LL_26, 2), (LL_61, 1), (LL_6, 9), (LL_26, 1),  (LL_25, 1), (LL_37, 1), (LL_23, 1), (LL_9, 1), (LL_7, 2), (LL_24, 2), (LL_41, 1), (LL_18, 2), (LL_5, 5), (LL_72, 2), (LL_70, 1), (LL_62, 1), (LL_66, 3), (LL_43, 1), (LL_53, 1), (LL_59, 1)","(LW_5, 2), (LW_7, 1), (LW_4, 4), (LW_0, 17), (LW_2, 4), (LW_10, 4), (LW_11, 1), (LW_9, 4), (LW_1, 1)",38,"(IS_2, 3), (IS_6, 1), (IS_1, 5), (IS_3, 3), (IS_5, 8), (IS_11, 1), (IS_0, 1)","(IN_0, 2), (IN_8, 6), (IN_7, 2), (IN_9, 4), (IN_10, 4), (IN_11, 2), (IN_12, 1)",333,9,"(BCD_Adder, 1), (Carry_out, 5), (Carry_in, 3)","BCD_Adder, 1), (Sum, 6), (Carry_out, 5), (Addend, 6), (Augend, 6), (Carry_in, 3), (3, 10), (0, 11), (Z, 13), (binCar1, 3), (binCar2, 3), (binCar3, 3), (K, 3), (fullAdder, 8), (f1, 1), (f2, 1), (1, 6), (f3, 1), (2, 6), (f4, 1), (finCar1, 3), (finCar2, 3), (finCar3, 3), (unusedOut, 2), (f5, 1), (f6, 1), (f7, 1), (f8, 1), ","(module, 1), (output, 2), (input, 2), (wire, 5), (assign, 1), (endmodule, 1)",Prog_3
Doc_23,"(LL_31, 1), (LL_61, 1), (LL_29, 1), (LL_23, 2),  (LL_19, 1), (LL_25, 2), (LL_21, 1), (LL_16, 2), (LL_2, 4), (LL_36, 1), (LL_7, 1), (LL_37, 1), (LL_26, 1), (LL_17, 1), (LL_27, 1), (LL_13, 1), (LL_18, 1), (LL_23, 1), (LL_6, 1), (LL_5, 1), (LL_3, 1), (LL_10, 1)","(LW_5, 3), (LW_7, 1), (LW_4, 9), (LW_0, 5), (LW_2, 4), (LW_1, 4), (LW_3, 1)",27,"(IS_2, 11), (IS_6, 1), (IS_1, 1), (IS_3, 4), (IS_0, 5)","(IN_0, 3), (IN_1, 10), (IN_2, 9)",78,17,"(BCD_Adder, 1), (Carry_out, 5), (Carry_in, 4), (sum_temp, 7)","(BCD_Adder, 1), (sum, 5), (Carry_out, 5), (Addend, 4), (Augend, 4), (Carry_in, 4), (3, 5), (0, 11), (reg, 3), (4, 1), (sum_temp, 7), (9, 1), (6, 1), (1, 1)","(module, 1), (input, 2), (output, 2), (always, 1), (begin, 3), (if, 1), (end, 3), (else, 1), (endmodule, 1)",Prog_3
Doc_24,"(LL_30, 1), (LL_21, 1), (LL_22, 1), (LL_1, 3),  (LL_57, 1), (LL_11, 1), (LL_32, 3), (LL_40, 1), (LL_31, 1), (LL_19, 2), (LL_36, 4), (LL_24, 2), (LL_9, 1), (LL_10, 1)","(LW_5, 3), (LW_7, 1), (LW_3, 4), (LW_0, 3), (LW_2, 2), (LW_9, 1), (LW_6, 6), (LW_1, 2)",23,"(IS_2, 2), (IS_1, 3), (IS_8, 1), (IS_6, 6), (IS_5, 2), (IS_3, 3), (IS_0, 2)","(IN_0, 8), (IN_1, 4), (IN_2, 2), (IN_6, 6)",120,4,"(default_nettype, 1), (reset_b, 3)","(timescale, 1), (1ns, 1), (100ps, 1), (default_nettype, 1), (none, 1), (A, 2), (x, 7), (y, 7), (clk, 2), (reset_b, 3), (reg, 1), (state, 12), (S0, 7), (1, 2), (b0, 1), (S1, 6), (b1, 1), (0, 1)","(module, 1), (output, 1), (input, 1), (parameter, 1), (always, 1), (posedge, 1), (negedge, 1), (if, 7), (else, 7), (case, 1), (endcase, 1), (assign, 1), (endmodule, 1)",Prog_3
Doc_25,"(LL_37, 1), (LL_21, 1), (LL_22, 1), (LL_1, 6),  (LL_74, 1), (LL_58, 1), (LL_49, 5), (LL_28, 1), (LL_40, 1), (LL_31, 1), (LL_30, 1), (LL_29, 1), (LL_17, 1), (LL_53, 8), (LL_35, 4), (LL_16, 1), (LL_10, 1)","(LW_5, 4), (LW_3, 6), (LW_0, 6), (LW_2, 2), (LW_9, 1), (LW_13, 1), (LW_6, 12), (LW_4, 1), (LW_1, 2)",36,"(IS_2, 2), (IS_1, 3), (IS_8, 1), (IS_12, 1), (IS_9, 1), (IS_4, 1), (IS_5, 2), (IS_3, 5), (IS_6, 12), (IS_0, 2)","(IN_0, 10), (IN_1, 1), (IN_4, 2), (IN_8, 5), (IN_12, 12)",330,52,"(default_nettype, 1), (out_z, 2), (in_x, 14), (in_y, 14), (reset_b, 3), (next_state, 18)","(timescale, 1), (1ns, 1), (100ps, 1), (default_nettype, 1), (none, 1), (out_z, 2), (in_x, 14), (in_y, 14), (clk, 2), (reset_b, 3), (S0, 11), (2, 4), (b00, 1), (S1, 3), (b01, 1), (S2, 5), (b10, 1), (S3, 8), (b11, 1), (state, 7), (1, 1), (0, 2), (next_state, 18)","(module, 1), (output, 1), (input, 1), (parameter, 1), (assign, 1), (always, 2), (posedge, 1), (negedge, 1), (if, 13), (else, 13), (case, 1), (endcase, 1), (endmodule, 1)",Prog_3
Doc_26,"(LL_31, 3), (LL_61, 1), (LL_32, 1), (LL_94, 1),  (LL_1, 3), (LL_44, 1), (LL_42, 1), (LL_26, 1), (LL_17, 1), (LL_60, 1), (LL_28, 5), (LL_13, 1), (LL_10, 1)","(LW_5, 3), (LW_8, 2), (LW_19, 1), (LW_0, 3), (LW_4, 1), (LW_7, 1), (LW_3, 7), (LW_2, 1), (LW_1, 2)",21,"(IS_2, 1), (IS_6, 1), (IS_3, 9), (IS_18, 1), (IS_5, 1), (IS_1, 1), (IS_0, 3), (IS_8, 1)","(IN_0, 3), (IN_3, 1), (IN_6, 10), (IN_5, 3)",150,17,"(y_out, 2), (x_in, 3), (reset_b, 3), (next_state, 9)","(y_out, 2), (x_in, 3), (clk, 2), (reset_b, 3), (reg, 1), (2, 1), (0, 2), (state, 6), (next_state, 9), (S0, 4), (3, 7), (b000, 2), (S1, 3), (b001, 1), (S2, 3), (b010, 1), (S3, 3), (b011, 1), (S4, 3), (b100, 1), (S5, 3), (b101, 1), (1, 1), (b0, 1)","(module, 1), (output, 1), (input, 1), (parameter, 1), (assign, 1), (always, 2), (posedge, 1), (negedge, 1), (if, 2), (else, 2), (case, 1), (endcase, 1), (endmodule, 1)",Prog_3
Doc_27,"(LL_28, 1), (LL_63, 1), (LL_29, 1), (LL_2, 2),  (LL_89, 1), (LL_41, 1), (LL_31, 1), (LL_28, 1), (LL_3, 2), (LL_18, 2), (LL_15, 1), (LL_25, 1), (LL_24, 5), (LL_10, 2), (LL_17, 1), (LL_1, 1)","(LW_5, 4), (LW_10, 1), (LW_0, 5), (LW_19, 1), (LW_3, 7), (LW_2, 4), (LW_1, 2)",24,"(IS_2, 5), (IS_8, 1), (IS_18, 1), (IS_5, 1), (IS_6, 1), (IS_3, 6), (IS_1, 1), (IS_4, 1), (IS_0, 2)","(IN_0, 3), (IN_1, 5), (IN_2, 5), (IN_3, 6)",109,10,"(Counter_1, 2), (next_state, 8)","(reg, 2), (2, 2), (0, 3), (Count, 2), (clock, 2), (reset, 3), (state, 7), (next_state, 8), (S0, 4), (3, 6), (b000, 1), (S1, 3), (b001, 1), (S2, 3), (b011, 1), (S3, 3), (b111, 1), (S4, 3), (b110, 1), (S5, 3), (b100, 1)","(module, 1), (output, 1), (input, 1), (parameter, 1), (always, 3), (posedge, 1), (negedge, 1), (if, 1), (else, 1), (case, 1), (endcase, 1), (endmodule, 1)",Prog_3
Doc_28,"(LL_28, 1), (LL_32, 1), (LL_15, 5), (LL_14, 2),  (LL_19, 1), (LL_1, 1), (LL_18, 1), (LL_16, 1), (LL_17, 1), (LL_10, 1)","(LW_5, 4), (LW_8, 1), (LW_3, 2), (LW_4, 6), (LW_0, 1), (LW_1, 1)",15,"(IS_2, 1), (IS_3, 1), (IS_0, 11), (IS_1, 1), (IT_0, 3), (IT_1, 11)","(IN_0, 3), (IN_1, 11)",28,1,"(Circuit_1, 1)","(A, 6), (B, 6), (C, 6), (F1, 3), (F2, 3), (T1, 3), (T2, 3), (T3, 3), (T4, 4), (T5, 2)","(module, 1), (output, 1), (input, 1), (wire, 1), (and, 5), (or, 2), (not, 1), (endmodule, 1)",Prog_4
Doc_29,"(LL_28, 1), (LL_32, 1), (LL_15, 5), (LL_14, 2),  (LL_19, 2), (LL_1, 1), (LL_18, 1), (LL_16, 1), (LL_17, 1), (LL_10, 1), (LL_2, 1)","(LW_5, 5), (LW_8, 1), (LW_3, 2), (LW_4, 6), (LW_0, 2), (LW_1, 1)",17,"(IS_2, 1), (IS_3, 1), (IS_0, 12), (IS_1, 1), (IT_0, 3), (IT_1, 12)","(IN_0, 3), (IN_1, 12)",31,1,"(Circuit_1, 1)","(A, 6), (B, 6), (C, 6), (F1, 3), (F2, 4), (T1, 3), (T2, 3), (T3, 3), (T4, 3), (T6, 2), (T7, 2), (T5, 2)","(module, 1), (output, 1), (input, 1), (wire, 1), (and, 5), (or, 3), (not, 1), (endmodule, 1)",Prog_4
Doc_30,"(LL_28, 2), (LL_32, 1), (LL_15, 5), (LL_14, 2), (LL_1, 1), (LL_18, 1), (LL_16, 1), (LL_19, 1), (LL_17, 1), (LL_10, 1), (LL_2, 1)","(LW_5, 4), (LW_8, 2), (LW_3, 2), (LW_4, 6), (LW_0, 2), (LW_1, 1)",17,"(IS_2, 1), (IS_3, 1), (IS_0, 12), (IS_1, 1), (IT_0, 3), (IT_1, 12)","(IN_0, 3), (IN_1, 12)",30,1,"(Circuit_1, 1)","(A, 6), (B, 6), (C, 6), (F1, 3), (F2, 4), (T1, 3), (T2, 3), (T3, 3), (T4, 3), (T5, 3), (T6, 3), (T7, 3)","(module, 1), output, 1), (input, 1), (wire, 1), (and, 5), (or, 3), (not, 1), (endmodule, 1)",Prog_4
